"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","life_expectancy","aged_65_older","gdp","popdens","hdi","vaccine","cases","deaths","lifeexp","aged65older"
"29","Africa","Burundi","2021-05-19",0,423.062,0.433,702.225,4382,6,-0.458879160492039,-0.801030794286869,-0.84508284491297,-0.00452150702363235,-1.04618382426782,-0.155065414483776,-0.25367844952761,-0.28320001971723,-1.02197328734649,-0.855262399433526
"30","Asia","Cambodia","2021-05-19",3503884,90.672,0.594,3645.07,23282,159,0.0157295812646602,-0.512932166364456,-0.701436414581231,-0.161036512363716,-0.35005274073251,-0.0671266267558396,-0.24789115945513,-0.280688878452404,-0.239460764868186,-0.564948812863289
"31","Africa","Cameroon","2021-05-19",0,50.885,0.563,3364.926,77429,1189,-0.590778920033646,-0.707126214482969,-0.715110830182072,-0.179771319420083,-0.484090402779681,-0.155065414483776,-0.231311032706212,-0.263783809806838,-1.23944339371485,-0.76063586283793
"32","North America","Canada","2021-05-19",19444593,4.037,0.929,44017.591,1350897,25050,0.742042230967571,1.44489267160342,1.26923092438605,-0.201830993207418,1.09841876848692,0.332945585961194,0.158632285495934,0.127839338690085,0.95804929683708,1.40792816571023
"33","Africa","Cape Verde","2021-05-19",0,135.58,0.665,6222.554,28699,253,0.197739729802424,-0.50545717493728,-0.575624020167943,-0.139890341119658,-0.0430632566889899,-0.155065414483776,-0.246232442506843,-0.279146085779896,0.0606289888977657,-0.557416352238764
"34","North America","Cayman Islands","2021-05-19",75284,256.496,0,49903.029,0,0,0.827863471892022,-1.20000846171239,1.55651148440154,-0.0829537052831359,-2.9183872973783,-0.153175973025295,-0.255020243448118,-0.283298495845263,1.09954731364444,-1.25730748526755
"35","Africa","Central African Republic","2021-05-19",0,7.479,0.397,661.24,7010,96,-0.936943791145024,-0.630819010330546,-0.8470834086352,-0.200210232509501,-1.20184046406453,-0.155065414483776,-0.252873740622293,-0.281722877796744,-1.81018371654186,-0.68374199396257
"36","Africa","Chad","2021-05-19",0,11.833,0.398,1768.153,4914,173,-0.881649568804438,-0.812866197379898,-0.79305266588871,-0.198160031440725,-1.19751666851462,-0.155065414483776,-0.253515548029273,-0.280459100820328,-1.71901720906866,-0.867188795422357
"37","South America","Chile","2021-05-19",0,24.282,0.851,22767.037,1300629,27997,0.612446397356822,0.526558828977222,0.231946859247773,-0.192298076202966,0.761162715594034,-0.155065414483776,0.143239931138082,0.176207530242008,0.744377794946767,0.482533992734726
"38","Asia","China","2021-05-19",449511000,147.674,0.761,15308.712,102797,4846,0.424100452509199,0.457103700299711,-0.132109610768137,-0.134195547429767,0.372021116102248,11.1265444819547,-0.223543203364483,-0.203762609771079,0.433841878866178,0.412544879431848
"39","South America","Colombia","2021-05-19",0,44.223,0.767,13254.949,3161126,82743,0.445987748852348,-0.00930461895846561,-0.232358085865331,-0.1829083059888,0.397963889401701,-0.155065414483776,0.712934947962326,1.07473654778581,0.469928621407654,-0.0574492782859136
"40","Africa","Comoros","2021-05-19",0,437.352,0.554,1413.89,3864,146,-0.301060234228282,-0.738583470072335,-0.810344985174507,0.00220733387504027,-0.523004562728859,-0.155065414483776,-0.253837064144411,-0.280902243396474,-0.761768880600061,-0.79233496796614
"41","Africa","Congo","2021-05-19",0,15.405,0.574,4881.406,11476,150,-0.286660697160421,-0.670218444311287,-0.641088264036224,-0.196478056654856,-0.436528651730685,-0.155065414483776,-0.251506225412574,-0.280836592644452,-0.738027602612249,-0.723444338504338
"42","North America","Costa Rica","2021-05-19",0,96.079,0.81,15524.995,293820,3696,0.618206212183966,0.274433597298094,-0.121552384379577,-0.158490477182532,0.583887098047776,-0.155065414483776,-0.165050848257854,-0.222637200977293,0.753874306141891,0.228470372920017
"43","Africa","Cote d'Ivoire","2021-05-19",0,76.399,0.538,3601.006,46777,298,-0.677752123923526,-0.74325533971432,-0.703587270744617,-0.167757348343195,-0.592185291527399,-0.155065414483776,-0.240696853621643,-0.278407514819653,-1.38284071276124,-0.797042755856468
"44","Europe","Croatia","2021-05-19",1450169,73.726,0.851,22669.797,351997,7792,0.515105526778081,1.87159009890472,0.227200371109437,-0.169016004166999,0.761162715594034,-0.118669773571967,-0.147236712038455,-0.155410830907162,0.583886755749153,1.8379061263602
"45","North America","Cuba","2021-05-19",740000,110.408,0.783,0,128094,834,0.532960952742228,1.09512536440681,-0.87935991847264,-0.151743272057474,0.467144618200241,-0.136493252015306,-0.215797114636255,-0.269610314048757,0.613325940454041,1.05547177898766
"46","North America","Curacao","2021-05-19",132406,362.644,0,0,0,0,0.537568804603944,1.34880788596659,-0.87935991847264,-0.0329709898379083,-2.9183872973783,-0.15174235266783,-0.255020243448118,-0.283298495845263,0.620923149410141,1.31110466143248
"47","Europe","Cyprus","2021-05-19",0,127.657,0.887,32415.132,71533,348,0.658524915973977,0.88925164218333,0.702890590994263,-0.143621104341504,0.916819355390749,-0.155065414483776,-0.233116422244166,-0.277586880419382,0.820349884507767,0.848015259287203
"48","Europe","Czechia","2021-05-19",4388483,137.176,0.9,32605.906,1655414,29948,0.566367878739666,1.7630469942226,0.71220266964608,-0.139138820470653,0.973028697539562,-0.0449253884484798,0.251877164384891,0.208228684540549,0.668405705385766,1.72852852104158
"49","Africa","Democratic Republic of Congo","2021-05-19",0,35.879,0.48,808.133,30708,776,-0.510717493936338,-0.729706917752564,-0.839913253533345,-0.186837308680089,-0.842965433422106,-0.155065414483776,-0.245617275006546,-0.27056224995307,-1.10744188810261,-0.783390170974516
"50","Europe","Denmark","2021-05-19",0,136.52,0.94,46682.515,270047,2506,0.653917064112261,1.86427083646561,1.39931144840461,-0.139447716176008,1.14598051953591,-0.155065414483776,-0.172330279310397,-0.242168299703723,0.812752675551667,1.83053059199869
"51","Africa","Djibouti","2021-05-19",0,41.285,0.524,2705.406,11468,152,-0.140361400550953,-0.543922234989624,-0.747303383215748,-0.184291744376504,-0.652718429226121,-0.155065414483776,-0.251508675059166,-0.280803767268441,-0.496816218256073,-0.596177139202466
"52","North America","Dominica","2021-05-19",0,98.567,0.742,9673.367,184,0,0.314087989310741,-1.20000846171239,-0.407182607455973,-0.157318933714659,0.289869000653982,-0.155065414483776,-0.254963901576513,-0.283298495845263,0.252458515039291,-1.25730748526755
"53","North America","Dominican Republic","2021-05-19",0,222.873,0.756,14600.861,279565,3597,0.261097692901012,-0.112864396022468,-0.166661301175464,-0.0987860228154011,0.350402138352705,-0.155065414483776,-0.169415812278129,-0.224262057089828,0.16509061204414,-0.161805243188188
"54","South America","Ecuador","2021-05-19",0,66.939,0.759,10581.936,412907,19979,0.429860267336344,-0.0937097304903292,-0.362833450922048,-0.172211850435668,0.363373525002431,-0.155065414483776,-0.128585715302225,0.0446105978146859,0.443338390061304,-0.142503312837842
"55","Africa","Egypt","2021-05-19",0,97.999,0.707,10550.206,249238,14498,0.140717563013694,-0.396602612279028,-0.364382258703098,-0.157586392191248,0.138536156407177,-0.155065414483776,-0.17870211630078,-0.0453473451429285,-0.0333864719339729,-0.447724894394118
"56","North America","El Salvador","2021-05-19",1497261,307.811,0.673,7292.458,71479,2199,0.217323100214714,0.0883374565590223,-0.523399764253123,-0.0587906212582664,-0.00847289228972005,-0.1174878813085,-0.233132957358659,-0.247206994921381,0.0929171269611897,0.0409434886219449
"57","Africa","Equatorial Guinea","2021-05-19",0,45.194,0.592,22604.873,7694,112,-0.62245790158294,-0.756803761676077,0.224031294639947,-0.182451083839562,-0.358700331832328,-0.155065414483776,-0.252664295838718,-0.281460274788658,-1.29167420528804,-0.81069534073842
