"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"41","Africa","Congo","2021-05-19",0,15.405,0.574,4881.406,11476,150,-0.641088264036224,-0.196478056654856,-0.436528651730685,-0.155065414483776,-0.251506225412574,-0.280836592644452
"42","North America","Costa Rica","2021-05-19",0,96.079,0.81,15524.995,293820,3696,-0.121552384379577,-0.158490477182532,0.583887098047776,-0.155065414483776,-0.165050848257854,-0.222637200977293
"43","Africa","Cote d'Ivoire","2021-05-19",0,76.399,0.538,3601.006,46777,298,-0.703587270744617,-0.167757348343195,-0.592185291527399,-0.155065414483776,-0.240696853621643,-0.278407514819653
"44","Europe","Croatia","2021-05-19",1450169,73.726,0.851,22669.797,351997,7792,0.227200371109437,-0.169016004166999,0.761162715594034,-0.118669773571967,-0.147236712038455,-0.155410830907162
"45","North America","Cuba","2021-05-19",740000,110.408,0.783,0,128094,834,-0.87935991847264,-0.151743272057474,0.467144618200241,-0.136493252015306,-0.215797114636255,-0.269610314048757
"46","North America","Curacao","2021-05-19",132406,362.644,0,0,0,0,-0.87935991847264,-0.0329709898379083,-2.9183872973783,-0.15174235266783,-0.255020243448118,-0.283298495845263
"47","Europe","Cyprus","2021-05-19",0,127.657,0.887,32415.132,71533,348,0.702890590994263,-0.143621104341504,0.916819355390749,-0.155065414483776,-0.233116422244166,-0.277586880419382
"48","Europe","Czechia","2021-05-19",4388483,137.176,0.9,32605.906,1655414,29948,0.71220266964608,-0.139138820470653,0.973028697539562,-0.0449253884484798,0.251877164384891,0.208228684540549
"49","Africa","Democratic Republic of Congo","2021-05-19",0,35.879,0.48,808.133,30708,776,-0.839913253533345,-0.186837308680089,-0.842965433422106,-0.155065414483776,-0.245617275006546,-0.27056224995307
"50","Europe","Denmark","2021-05-19",0,136.52,0.94,46682.515,270047,2506,1.39931144840461,-0.139447716176008,1.14598051953591,-0.155065414483776,-0.172330279310397,-0.242168299703723
"51","Africa","Djibouti","2021-05-19",0,41.285,0.524,2705.406,11468,152,-0.747303383215748,-0.184291744376504,-0.652718429226121,-0.155065414483776,-0.251508675059166,-0.280803767268441
"52","North America","Dominica","2021-05-19",0,98.567,0.742,9673.367,184,0,-0.407182607455973,-0.157318933714659,0.289869000653982,-0.155065414483776,-0.254963901576513,-0.283298495845263
"53","North America","Dominican Republic","2021-05-19",0,222.873,0.756,14600.861,279565,3597,-0.166661301175464,-0.0987860228154011,0.350402138352705,-0.155065414483776,-0.169415812278129,-0.224262057089828
"54","South America","Ecuador","2021-05-19",0,66.939,0.759,10581.936,412907,19979,-0.362833450922048,-0.172211850435668,0.363373525002431,-0.155065414483776,-0.128585715302225,0.0446105978146859
"55","Africa","Egypt","2021-05-19",0,97.999,0.707,10550.206,249238,14498,-0.364382258703098,-0.157586392191248,0.138536156407177,-0.155065414483776,-0.17870211630078,-0.0453473451429285
"56","North America","El Salvador","2021-05-19",1497261,307.811,0.673,7292.458,71479,2199,-0.523399764253123,-0.0587906212582664,-0.00847289228972005,-0.1174878813085,-0.233132957358659,-0.247206994921381
"57","Africa","Equatorial Guinea","2021-05-19",0,45.194,0.592,22604.873,7694,112,0.224031294639947,-0.182451083839562,-0.358700331832328,-0.155065414483776,-0.252664295838718,-0.281460274788658
"58","Africa","Eritrea","2021-05-19",0,44.304,0.459,1510.459,3887,14,-0.805631249952059,-0.18287016490323,-0.933765139970189,-0.155065414483776,-0.25383002141046,-0.283068718213187
"59","Europe","Estonia","2021-05-19",603161,31.033,0.892,29481.252,127757,1232,0.559681761096092,-0.189119181527882,0.938438333140292,-0.139927571123445,-0.215900305998923,-0.263078064222606
"60","Africa","Eswatini","2021-05-19",0,79.492,0.611,7738.975,18530,672,-0.501604333935714,-0.166300923927548,-0.276548216384062,-0.155065414483776,-0.249346249530496,-0.272269169505632
"61","Africa","Ethiopia","2021-05-19",1501724,104.957,0.485,1729.927,267597,4038,-0.794918557040252,-0.154310025853042,-0.821346455672562,-0.117375871090802,-0.173080483579052,-0.217024061679445
"62","Oceania","Fiji","2021-05-19",0,49.562,0.743,8702.975,178,4,-0.454549474152138,-0.18039429048439,0.294192796203891,-0.155065414483776,-0.254965738811456,-0.283232845093241
"63","Europe","Finland","2021-05-19",2468703,18.136,0.938,40585.721,90687,929,1.10171415919367,-0.195192089930274,1.13733292843609,-0.0931070993453983,-0.227251355892405,-0.268051108688243
"64","Europe","France","2021-05-19",0,122.578,0.901,38605.671,5978650,108342,1.00506377007077,-0.146012691670011,0.977352493089471,-0.155065414483776,1.57567720585509,1.49488494803612
"65","Africa","Gabon","2021-05-19",0,7.859,0.703,16562.413,24039,147,-0.0709138381897876,-0.200031299021643,0.121240974207542,-0.155065414483776,-0.247659361646407,-0.280885830708468
"66","Africa","Gambia","2021-05-19",0,207.566,0.496,1561.767,5966,175,-0.803126798970964,-0.105993746232895,-0.773784704623566,-0.155065414483776,-0.253193419502488,-0.280426275444317
"67","Asia","Georgia","2021-05-19",0,65.032,0.812,9745.079,333601,4519,-0.403682194484189,-0.173109814018157,0.592534689147594,-0.155065414483776,-0.152869674375669,-0.209129558748846
"68","Europe","Germany","2021-05-19",0,237.016,0.947,45229.245,3627777,86908,1.32837429479706,-0.0921264009238737,1.17624708838527,-0.155065414483776,0.855826201910089,1.14309539332831
"69","Africa","Ghana","2021-05-19",0,126.719,0.611,4227.63,93456,783,-0.673000440395007,-0.144062787529955,-0.276548216384062,-0.155065414483776,-0.226403471965914,-0.270447361137032
"70","Europe","Greece","2021-05-19",4615746,83.479,0.888,24574.382,383558,11587,0.320167155467219,-0.164423534937835,0.921143150940657,-0.039221651476761,-0.137572550029062,-0.0931246799266569
"71","North America","Greenland","2021-05-19",19241,0.137,0,0,0,0,-0.87935991847264,-0.203667415845964,-2.9183872973783,-0.154582513162079,-0.255020243448118,-0.283298495845263
"72","North America","Grenada","2021-05-19",0,317.132,0.779,13593.877,161,1,-0.215814300059597,-0.0544015711521412,0.449849436000606,-0.155065414483776,-0.254970944310463,-0.283282083157257
"73","North America","Guatemala","2021-05-19",0,157.834,0.663,7423.808,243833,7928,-0.516988295547135,-0.129411431017554,-0.0517108477888074,-0.155065414483776,-0.180357158779179,-0.153178705338427
"74","Africa","Guinea","2021-05-19",0,51.755,0.477,1998.926,22879,153,-0.781788152240541,-0.179361655908408,-0.855936820071832,-0.155065414483776,-0.248014560402178,-0.280787354580436
"75","Africa","Guinea-Bissau","2021-05-19",0,66.191,0.48,1548.675,3746,68,-0.803765846921469,-0.172564066880189,-0.842965433422106,-0.155065414483776,-0.253873196431636,-0.282182433060895
"76","South America","Guyana","2021-05-19",0,3.952,0.682,7435.047,15607,349,-0.516439696409057,-0.201871017803387,0.0304412676594586,-0.155065414483776,-0.250241289153875,-0.277570467731377
"77","North America","Haiti","2021-05-19",0,398.448,0.51,1653.173,13598,276,-0.798665080596091,-0.0161116882608562,-0.713251566924844,-0.155065414483776,-0.250856456654172,-0.278768593955771
"78","North America","Honduras","2021-05-19",0,82.805,0.634,4541.795,229211,6051,-0.657665388502988,-0.164740906439983,-0.177100918736161,-0.155065414483776,-0.184834500336841,-0.183985320724568
"79","Asia","Hong Kong","2021-05-19",2026556,7039.714,0.949,56054.92,0,0,1.85679817362233,3.11111170430485,1.18489467948509,-0.104203891127759,-0.255020243448118,-0.283298495845263
"80","Europe","Hungary","2021-05-19",7644400,108.043,0.854,26777.561,799588,29329,0.427708938582487,-0.152856897580592,0.77413410224376,0.0367900433188904,-0.0101817410950025,0.198069230665205
"81","Europe","Iceland","2021-05-19",220021,3.404,0.949,46482.958,6551,29,1.38957065312055,-0.202129058727982,1.18489467948509,-0.14954343372908,-0.253014289095482,-0.282822527893106
"82","Asia","India","2021-05-19",186410600,450.419,0.645,6426.674,25772440,287122,-0.565660495293438,0.00836029146936884,-0.129539167687165,4.52337775990137,7.63665098171475,4.42914530964209
