"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"146","Asia","Qatar","2021-05-19",2150749,227.322,0.848,116935.6,214150,538,4.82851172230359,-0.0966910883746597,0.748191328944308,-0.101086955217696,-0.189446266251212,-0.274468469698356
"147","Europe","Romania","2021-05-19",0,85.129,0.828,23313.199,1073679,29716,0.2586061707925,-0.16364658689845,0.661715417946133,-0.155065414483776,0.0737465193947343,0.204420940923296
"148","Europe","Russia","2021-05-19",24862902,8.823,0.824,24765.954,4908794,115003,0.329518186171015,-0.199577373015602,0.644420235746498,0.468931687383321,1.24808106787716,1.60420986284011
"149","Africa","Rwanda","2021-05-19",0,494.869,0.543,1854.211,26424,348,-0.788851994599026,0.0292908007727977,-0.570566313777855,-0.155065414483776,-0.246929060756308,-0.277586880419382
"150","North America","Saint Kitts and Nevis","2021-05-19",0,212.865,0.779,24654.385,45,0,0.324072269520399,-0.10349856583247,0.449849436000606,-0.155065414483776,-0.255006464186041,-0.283298495845263
"151","North America","Saint Lucia","2021-05-19",44206,293.187,0.759,12951.839,4906,77,-0.247153520044791,-0.0656767352752144,0.363373525002431,-0.153955953653937,-0.253517997675865,-0.282034718868847
"152","North America","Saint Vincent and the Grenadines","2021-05-19",0,281.787,0.738,10727.146,1949,12,-0.355745446576433,-0.0710447399109645,0.272573818454347,-0.155065414483776,-0.254423448297257,-0.283101543589198
"153","Oceania","Samoa","2021-05-19",0,69.413,0.715,6021.557,3,0,-0.585435104869104,-0.171046899254191,0.173126520806446,-0.155065414483776,-0.255019324830646,-0.283298495845263
"154","Europe","San Marino","2021-05-19",0,556.667,0,56861.47,5087,90,1.8961675690149,0.0583900946745592,-2.9183872973783,-0.155065414483776,-0.253462574421731,-0.281821353924776
"155","Africa","Sao Tome and Principe","2021-05-19",0,212.841,0.625,3052.714,2333,35,-0.730350552052144,-0.103509866894861,-0.216015078685339,-0.155065414483776,-0.254305865260864,-0.282724051765074
"156","Asia","Saudi Arabia","2021-05-19",12225726,15.322,0.854,49045.411,436239,7201,1.51464935293072,-0.196517139495625,0.77413410224376,0.151769949795953,-0.121441321018041,-0.165110729518355
"157","Africa","Senegal","2021-05-19",434588,82.328,0.512,2470.58,40925,1128,-0.758765732285808,-0.164965515055005,-0.704603975825026,-0.14415833483128,-0.242488770103344,-0.264784983775168
"158","Europe","Serbia","2021-05-19",4184634,80.291,0.806,14048.881,708328,6725,-0.19360460149013,-0.165924692725446,0.566591915848141,-0.0500414921606895,-0.038126084587833,-0.172923169008927
"159","Africa","Seychelles","2021-05-19",0,208.354,0.796,26382.287,9764,35,0.408414786459984,-0.105622694684388,0.523353960349054,-0.155065414483776,-0.252030449783161,-0.282724051765074
"160","Africa","Sierra Leone","2021-05-19",0,104.7,0.452,1390.3,4107,79,-0.811496462500539,-0.154431041396146,-0.96403170881955,-0.155065414483776,-0.253762656129193,-0.282001893492836
"161","Asia","Singapore","2021-05-19",0,7915.731,0.938,85535.383,61689,31,3.29580134044794,3.52360848649747,1.13733292843609,-0.155065414483776,-0.236130712375039,-0.282789702517095
"162","Europe","Slovakia","2021-05-19",2185568,113.128,0.86,30155.152,388138,12262,0.592576232058905,-0.150462484986488,0.800076875543213,-0.10021308477852,-0.136170127355413,-0.0820461155230098
"163","Europe","Slovenia","2021-05-19",893198,102.619,0.917,31400.84,250453,4338,0.653380873318327,-0.15541093768097,1.04653322188801,-0.132648362629029,-0.178330076224692,-0.212100255277824
"164","Oceania","Solomon Islands","2021-05-19",0,21.841,0.567,2205.923,20,0,-0.771684194968112,-0.193447488423656,-0.466795220580046,-0.155065414483776,-0.255014119331639,-0.283298495845263
"165","Africa","Somalia","2021-05-19",0,23.5,0,0,14575,762,-0.87935991847264,-0.192666302485874,-2.9183872973783,-0.155065414483776,-0.250557293564182,-0.270792027585146
"166","Africa","South Africa","2021-05-19",558170,46.754,0.709,12294.876,1621362,55507,-0.279221260551012,-0.181716514784143,0.147183747506994,-0.141056733504011,0.241450243668062,0.627720577270647
"167","Asia","South Korea","2021-05-19",5034150,527.967,0.916,35938.374,134117,1916,0.874867414950284,0.0448759075652587,1.0422094263381,-0.0287207500369532,-0.21395283695866,-0.25185178562691
"168","Africa","South Sudan","2021-05-19",0,0,0.433,1569.888,10652,115,-0.802730395945754,-0.203731926077113,-1.04618382426782,-0.155065414483776,-0.251758539011501,-0.281411036724641
"169","Europe","Spain","2021-05-19",0,93.105,0.904,34272.36,3625928,79568,0.793545780959129,-0.159890867163823,0.990323879739197,-0.155065414483776,0.855260027341622,1.02262626336865
"170","Asia","Sri Lanka","2021-05-19",1683203,341.955,0.782,11669.077,151343,1051,-0.309767820922073,-0.0427129764965954,0.462820822650332,-0.112821198830511,-0.208678135435457,-0.266048760751584
"171","Africa","Sudan","2021-05-19",0,23.258,0.51,4466.507,34889,2446,-0.661340353527247,-0.192780254864984,-0.713251566924844,-0.155065414483776,-0.24433702845665,-0.243153060984047
"172","South America","Suriname","2021-05-19",57362,3.612,0.738,13767.119,12409,239,-0.207357995061022,-0.20203111618726,0.272573818454347,-0.153625770722268,-0.251220535378837,-0.279375863411971
"173","Europe","Sweden","2021-05-19",4362100,24.718,0.945,46949.283,1051762,14349,1.4123329534199,-0.192092773569528,1.16759949728545,-0.0455875362355145,0.0670354063514255,-0.0477928356557335
"174","Europe","Switzerland","2021-05-19",0,214.243,0.955,57410.166,684954,10756,1.92295057040889,-0.102849696500184,1.21083745278454,-0.155065414483776,-0.0452833395166235,-0.106763623659147
"175","Asia","Syria","2021-05-19",0,0,0.567,0,23884,1714,-0.87935991847264,-0.203731926077113,-0.466795220580046,-0.155065414483776,-0.247706823549118,-0.255167148604002
"176","Asia","Taiwan","2021-05-19",264589,0,0,0,2533,14,-0.87935991847264,-0.203731926077113,-2.9183872973783,-0.148424887598141,-0.254244624096076,-0.283068718213187
"177","Asia","Tajikistan","2021-05-19",0,64.281,0.668,2896.913,13308,90,-0.737955525298141,-0.173463443095477,-0.0300918700392637,-0.155065414483776,-0.250945256343115,-0.281821353924776
"178","Africa","Tanzania","2021-05-19",0,64.699,0.529,2683.304,509,21,-0.748382228144105,-0.173266616258833,-0.631099451476578,-0.155065414483776,-0.254864384683732,-0.282953829397149
"179","Asia","Thailand","2021-05-19",2540116,135.132,0.777,16277.671,116949,678,-0.0848126918044088,-0.140101294284291,0.441201844900788,-0.0913148103746404,-0.219209778544074,-0.272170693377599
"180","Asia","Timor","2021-05-19",0,87.176,0.606,6570.102,4949,11,-0.558659474101489,-0.162682700452013,-0.298167194133605,-0.155065414483776,-0.253504830825435,-0.283117956277203
"181","Africa","Togo","2021-05-19",0,143.366,0.515,1429.813,13299,125,-0.80956775018246,-0.136224088128961,-0.6916325891753,-0.155065414483776,-0.25094801219553,-0.281246909844587
"182","North America","Trinidad and Tobago","2021-05-19",62985,266.886,0.796,28763.071,17669,331,0.524625841745233,-0.0780612870230093,0.523353960349054,-0.153484647385024,-0.249609892744909,-0.277865896115474
"183","Africa","Tunisia","2021-05-19",0,74.228,0.74,10849.297,329925,12032,-0.349783000334292,-0.168779623611986,0.281221409554165,-0.155065414483776,-0.153995286984475,-0.0858210337642525
"184","Asia","Turkey","2021-05-19",26821460,104.914,0.82,25129.341,5151038,45419,0.347255867013519,-0.154330273589826,0.627125053546863,0.518086629788621,1.32225759149186,0.462149380672141
"185","Africa","Uganda","2021-05-19",0,213.759,0.544,1697.707,43094,350,-0.796491282747956,-0.103077601258403,-0.566242518227947,-0.155065414483776,-0.241824609671216,-0.277554055043372
"186","Europe","Ukraine","2021-05-19",1012815,77.39,0.779,7894.393,2222115,50658,-0.494018055722183,-0.167290708641965,0.449849436000606,-0.129646272956069,0.425404311017923,0.548135453132448
"187","Asia","United Arab Emirates","2021-05-19",11704191,112.442,0.89,67293.483,550029,1639,2.40537598081515,-0.150785507019832,0.929790742040475,0.138680716345962,-0.0865981603118256,-0.256398100204407
"188","Europe","United Kingdom","2021-05-19",0,272.898,0.932,39753.244,4468366,127956,1.06107921260855,-0.0752303708940506,1.11139015513664,-0.155065414483776,1.1132194492506,1.8168034105741
"189","North America","United States","2021-05-19",277290173,35.608,0.926,54225.446,33026624,587874,1.76749771454795,-0.186964916509588,1.08544738183719,6.8042293745246,9.85792437045236,9.36529405264308
"190","South America","Uruguay","2021-05-19",2444899,19.751,0.817,20551.409,249365,3638,0.123797414359221,-0.194431622606876,0.614153666897137,-0.0937045206364786,-0.178663228161139,-0.223589136881606
"191","Asia","Uzbekistan","2021-05-19",0,76.134,0.72,6253.104,97280,674,-0.574132810659242,-0.167882130907096,0.19474549855599,-0.155065414483776,-0.225232540895164,-0.272236344129621
"192","Oceania","Vanuatu","2021-05-19",0,22.662,0.609,2921.909,4,1,-0.736735418166242,-0.193060897914362,-0.285195807483879,-0.155065414483776,-0.255019018624822,-0.283282083157257
"193","Europe","Vatican","2021-05-19",0,0,0,0,27,0,-0.87935991847264,-0.203731926077113,-2.9183872973783,-0.155065414483776,-0.255011975890871,-0.283298495845263
"194","South America","Venezuela","2021-05-19",316000,36.253,0.711,16745.022,218814,2446,-0.0620003102953695,-0.186661200457828,0.155831338606811,-0.147134599159403,-0.188018122288352,-0.243153060984047
"195","Asia","Vietnam","2021-05-19",0,308.127,0.704,6171.884,4720,37,-0.578097329032294,-0.0586418239367841,0.12556476975745,-0.155065414483776,-0.253574951959118,-0.282691226389063
"196","Asia","Yemen","2021-05-19",0,53.508,0.47,1479.147,6593,1298,-0.807159654277312,-0.178536207476261,-0.886203388921193,-0.155065414483776,-0.253001428450877,-0.261994826814249
"197","Africa","Zambia","2021-05-19",0,22.995,0.584,3689.251,92630,1263,-0.699279847402706,-0.192904095673686,-0.393290696231598,-0.155065414483776,-0.226656397976489,-0.262569270894439
"198","Africa","Zimbabwe","2021-05-19",844684,42.729,0.571,1899.775,38612,1583,-0.786627920292824,-0.183611797122643,-0.449500038380411,-0.133865943561456,-0.243197024174119,-0.25731721073271
